"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
680,"137 HALL ST",150080,1,1953,0.21,1600,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
681,"145 HALL ST",132090,1,1950,0.21,1346,78,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","None","	 0200"
696,"510 FORT HALE RD",114030,1,1950,0.2,1058,78,"Ranch","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0200"
697,"488 FORT HALE RD",123200,1,1961,0.16,1488,68,"Split-Level","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 0200"
700,"120 HALL ST",144340,1,1945,0.32,1502,68,"Ranch","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
706,"180 HALL ST",141190,1,1979,0.26,1080,86,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
710,"166 HALL ST",118720,1,1960,0.28,1130,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
711,"158 HALL ST",135450,1,1958,0.32,1292,68,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
716,"351 CONCORD ST",93170,1,1900,0.12,1368,55,"Colonial","Single Family","Average",3,1,"Gas/Oil","Steam","None","	 0101"
720,"109 BURR ST",109900,1,1950,0.28,1104,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
726,"40 ELMER ST",107520,1,1954,0.14,1088,78,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
727,"34 ELMER ST",129010,1,1963,0.13,1138,78,"Ranch","Single Family","Above Average",2,1,"Gas/Oil","Hot Water","None","	 0101"
731,"4 ELMER ST",124530,1,1920,0.13,1368,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
736,"349 CONCORD ST",119700,1,1920,0.13,1481,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","Forced Hot Air","None","	 0101"
741,"398 CONCORD ST",204470,1,1960,0.2,3127,78,"Colonial","Single Family","Above Average",6,2,"Electric","Electr Basebrd","Unit/AC","	 0101"
746,"60 BURR ST",160580,1,1980,0.23,1644,80,"Ranch","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","Central","	 0101"
750,"439 TOWNSEND AV",109270,1,1953,0.15,1120,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
751,"15 LEY ST",94360,1,1920,0.12,820,68,"Cape Cod","Single Family","Average",1,1,"Oil/Gas","FA/HW/ST","None","	 0101"
757,"51 LEY ST",116760,1,1960,0.13,1120,78,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0101"
761,"77 LEY ST",113750,1,1958,0.17,865,78,"Ranch","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 0101"
766,"106 BURR ST",121380,1,1950,0.21,1315,68,"Cape Cod","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 0101"
767,"104 BURR ST",140420,1,1935,0.33,1458,78,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","Central","	 0101"
770,"383 CONCORD ST",146930,1,1961,0.2,1562,78,"Ranch","Single Family","Average",3,1,"Oil/Gas","Hot Water","Central","	 0101"
777,"37 GIRARD AV",135030,1,1947,0.25,1608,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","None","	 0101"
784,"75 GIRARD AV",118580,1,1930,0.2,1416,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
785,"79 GIRARD AV",144410,1,1945,0.25,1804,68,"Bungalow","Single Family","Above Average",3,3,"Electric","None","Central","	 0101"
